,x_lm0,y_lm0,z_lm0,x_lm1,y_lm1,z_lm1,x_lm2,y_lm2,z_lm2,x_lm3,y_lm3,z_lm3,x_lm4,y_lm4,z_lm4,x_lm5,y_lm5,z_lm5,x_lm6,y_lm6,z_lm6,x_lm7,y_lm7,z_lm7,x_lm8,y_lm8,z_lm8,x_lm9,y_lm9,z_lm9,x_lm10,y_lm10,z_lm10,x_lm11,y_lm11,z_lm11,x_lm12,y_lm12,z_lm12,x_lm13,y_lm13,z_lm13,x_lm14,y_lm14,z_lm14,x_lm15,y_lm15,z_lm15,x_lm16,y_lm16,z_lm16,x_lm17,y_lm17,z_lm17,x_lm18,y_lm18,z_lm18,x_lm19,y_lm19,z_lm19,x_lm20,y_lm20,z_lm20
+,0.0,0.0,0.0,0.23313765,-0.053078018,-0.11026568,0.42602086,-0.15853179,-0.1894061,0.5174304,-0.24559951,-0.26878828,0.54059017,-0.31184167,-0.34608927,0.31173962,-0.37627593,-0.13405481,0.43477958,-0.49304986,-0.2704984,0.52154475,-0.53459126,-0.3629457,0.5830943,-0.55972326,-0.41790685,0.14333524,-0.38669813,-0.16066012,0.24648492,-0.49358442,-0.31349856,0.30930018,-0.48530248,-0.38698003,0.34198967,-0.4795662,-0.4157488,-0.019867808,-0.35508597,-0.20234464,0.07207124,-0.4283666,-0.3630859,0.14268017,-0.38773155,-0.3940388,0.18074776,-0.36067086,-0.38424042,-0.17264731,-0.29287934,-0.25210118,-0.11096299,-0.34295008,-0.37570798,-0.05864053,-0.32379505,-0.3892164,-0.031116685,-0.31224754,-0.376666
/,0.0,0.0,0.0,0.2520295,-0.07043029,-0.088451736,0.45928666,-0.19646837,-0.1581646,0.56184834,-0.29597467,-0.23417105,0.58753806,-0.36806157,-0.30663562,0.3021077,-0.4100197,-0.11394025,0.42555815,-0.52807695,-0.26309788,0.51263463,-0.5303494,-0.35936457,0.56367445,-0.51729447,-0.40945145,0.14579043,-0.4081252,-0.1499125,0.2912667,-0.5112597,-0.3142963,0.381091,-0.46345034,-0.38737386,0.4217586,-0.42286175,-0.411057,-0.0031261973,-0.37057394,-0.2007883,0.14530118,-0.44189546,-0.3702911,0.23675951,-0.3677443,-0.39169315,0.27349916,-0.31216508,-0.3701737,-0.14244859,-0.30720875,-0.25792366,-0.013127736,-0.3617779,-0.3823322,0.075164326,-0.32653698,-0.38813734,0.11997742,-0.29790378,-0.3672307
0,0.0,0.0,0.0,0.23796403,-0.056728356,-0.044133313,0.44050547,-0.13681108,-0.10077426,0.58850414,-0.2033268,-0.16615744,0.6997232,-0.26067924,-0.237197,0.34934622,-0.29913107,-0.10119363,0.50599664,-0.37635195,-0.22065455,0.6348254,-0.40490848,-0.30756596,0.74657273,-0.42223877,-0.36602563,0.22787072,-0.3035646,-0.14981496,0.42156318,-0.34172326,-0.29140288,0.52344966,-0.30544755,-0.35477602,0.5873447,-0.28176796,-0.38359442,0.11139866,-0.27590746,-0.20559853,0.29215866,-0.30273235,-0.34041497,0.3662305,-0.26785687,-0.34799856,0.40620267,-0.24823947,-0.3317517,0.0050237514,-0.22521886,-0.26512763,0.15481643,-0.24610195,-0.37157956,0.2313447,-0.22505434,-0.37509245,0.27852845,-0.21377032,-0.35969242
1,0.0,0.0,0.0,0.2431812,-0.054032914,-0.109086245,0.4441061,-0.16722524,-0.18861543,0.5378181,-0.2607883,-0.27053702,0.556201,-0.33102384,-0.34898537,0.32545722,-0.3957388,-0.1300208,0.4414646,-0.52029234,-0.2762664,0.5199939,-0.5421435,-0.37229472,0.56666636,-0.54955435,-0.42605376,0.15567216,-0.4050288,-0.15909661,0.27569678,-0.51526606,-0.32360154,0.35164836,-0.47981587,-0.39825436,0.3848546,-0.45094147,-0.42340255,-0.011438484,-0.37390882,-0.20420764,0.105527095,-0.44854036,-0.37556332,0.18578242,-0.38072854,-0.40004748,0.21853812,-0.3317732,-0.38110533,-0.17114565,-0.3126653,-0.25734335,-0.07791976,-0.36340156,-0.3873776,-0.0091718035,-0.32711586,-0.39666578,0.021339782,-0.29967552,-0.37786573
2,0.0,0.0,0.0,0.24247088,-0.053969383,-0.10959272,0.44026884,-0.16531293,-0.1866511,0.5269809,-0.2557914,-0.26665848,0.54080385,-0.32235622,-0.34249866,0.31319258,-0.3932689,-0.122793555,0.43324512,-0.51170135,-0.2672406,0.51272565,-0.5331859,-0.36213842,0.56267697,-0.5423206,-0.41435155,0.14033704,-0.40262482,-0.1513611,0.24562655,-0.5179901,-0.3124261,0.31755474,-0.50066113,-0.38960537,0.3531283,-0.48583573,-0.4169498,-0.026666114,-0.3708605,-0.1962171,0.082209714,-0.4422681,-0.36961964,0.16729751,-0.37134025,-0.39761224,0.20769735,-0.3186068,-0.37826735,-0.1827166,-0.30856383,-0.24901457,-0.09101362,-0.35605857,-0.38032857,-0.014495063,-0.31855053,-0.39037436,0.026173284,-0.28948304,-0.37045118
3,0.0,0.0,0.0,0.24448462,-0.04786098,-0.11307732,0.44970906,-0.15544026,-0.19182122,0.5525801,-0.24419995,-0.2722651,0.5862291,-0.30955005,-0.34933013,0.33163294,-0.3798305,-0.13220027,0.44637203,-0.5017248,-0.27508977,0.52184135,-0.52730775,-0.36919317,0.5689774,-0.53886503,-0.42216945,0.16263565,-0.39167303,-0.15912072,0.26234722,-0.512037,-0.3200426,0.33058554,-0.49896693,-0.39914286,0.36437073,-0.48558825,-0.42924717,-0.0031534636,-0.36332798,-0.20171572,0.09136174,-0.4417714,-0.37553653,0.16929814,-0.3723238,-0.40665957,0.2081082,-0.31817982,-0.39058852,-0.16085942,-0.30454245,-0.25217366,-0.08635818,-0.35528842,-0.38608506,-0.021428887,-0.31680876,-0.3994058,0.012501114,-0.28507826,-0.38261524
4,0.0,0.0,0.0,0.23662917,-0.04859311,-0.109097905,0.42952958,-0.15489736,-0.18686289,0.51736104,-0.24468069,-0.26543337,0.5318773,-0.3112128,-0.34222165,0.32595307,-0.37061682,-0.13286835,0.44223103,-0.49717566,-0.27044642,0.5266882,-0.53007996,-0.36407605,0.5835976,-0.5460004,-0.41883472,0.16463579,-0.3832815,-0.16036735,0.26882905,-0.51320845,-0.3107652,0.34965485,-0.5145634,-0.39084727,0.3963796,-0.5106705,-0.4261778,0.003174439,-0.3574504,-0.20300071,0.091562994,-0.4592058,-0.3602755,0.17184474,-0.43069014,-0.401868,0.21676381,-0.4069421,-0.40172675,-0.15344149,-0.3018503,-0.25331485,-0.09731155,-0.3748245,-0.37746468,-0.04098357,-0.36696908,-0.39970708,-0.008822048,-0.35893574,-0.39515162
5,0.0,0.0,0.0,0.24106881,-0.047742948,-0.114294805,0.44285953,-0.15347628,-0.19414188,0.5442022,-0.24032548,-0.27392426,0.57928294,-0.30340225,-0.35110602,0.32539022,-0.37470332,-0.1411073,0.44234577,-0.4958608,-0.2839359,0.52003425,-0.51899564,-0.37834033,0.56806564,-0.5282805,-0.43190107,0.15681674,-0.38607976,-0.16652268,0.2612614,-0.506969,-0.32173306,0.33101937,-0.49441174,-0.39868554,0.36458448,-0.4827071,-0.43004066,-0.009057683,-0.35749298,-0.20744067,0.07999305,-0.4474363,-0.36981216,0.14702463,-0.40515122,-0.4044503,0.17725259,-0.3750662,-0.39747766,-0.16720982,-0.29876083,-0.25635397,-0.1048382,-0.35945696,-0.38247865,-0.052840564,-0.33847627,-0.39872193,-0.028979806,-0.32323968,-0.38815397
6,0.0,0.0,0.0,0.23999138,-0.05048632,-0.10856906,0.43674216,-0.15901233,-0.1858816,0.528745,-0.24672224,-0.26485083,0.5494082,-0.31347322,-0.3413541,0.319444,-0.38576695,-0.12951645,0.4385316,-0.50846845,-0.26932415,0.51911896,-0.53430766,-0.36324707,0.5712753,-0.54604244,-0.41720644,0.15122092,-0.39574772,-0.15876535,0.2554665,-0.5198297,-0.31150678,0.3296397,-0.51234317,-0.38948452,0.37005684,-0.50403106,-0.4220123,-0.012554195,-0.36510095,-0.20358433,0.086704545,-0.45575446,-0.36827618,0.16952394,-0.41175485,-0.4062678,0.2131407,-0.37851387,-0.40090734,-0.16687325,-0.30382776,-0.25584936,-0.080362216,-0.36243036,-0.38644227,-0.0058269803,-0.33626682,-0.40494725,0.036578245,-0.3143089,-0.3952837
7,0.0,0.0,0.0,0.23935676,-0.055168346,-0.11317764,0.43243617,-0.1665188,-0.19300142,0.5216801,-0.25736707,-0.2744007,0.5384751,-0.3245006,-0.35240075,0.30766612,-0.392976,-0.12825568,0.42468545,-0.51945156,-0.26781684,0.50838655,-0.54833955,-0.36177233,0.5617164,-0.5610657,-0.41518113,0.14172725,-0.40171343,-0.15475006,0.24310723,-0.52854025,-0.30858833,0.31967887,-0.52056605,-0.38676527,0.3590032,-0.5104883,-0.41865608,-0.020017695,-0.37105545,-0.1975319,0.077897996,-0.46187523,-0.36089814,0.16485077,-0.40775323,-0.39454457,0.20905755,-0.36443344,-0.38449073,-0.17392372,-0.31087953,-0.2487769,-0.11115999,-0.37770808,-0.37367296,-0.05633538,-0.36184,-0.38992107,-0.030760068,-0.34905875,-0.37901038
8,0.0,0.0,0.0,0.2403865,-0.05113772,-0.11165681,0.43930385,-0.16008206,-0.19026639,0.537536,-0.24925958,-0.2700163,0.5728191,-0.31730175,-0.34666768,0.32340622,-0.38284397,-0.123960264,0.4371754,-0.50952697,-0.26106057,0.5201372,-0.53731203,-0.35484523,0.57444274,-0.547409,-0.40916604,0.15830569,-0.3940553,-0.1507707,0.2654675,-0.5195487,-0.3052177,0.3502761,-0.5061082,-0.38590077,0.39861566,-0.48663557,-0.4186335,-0.007166016,-0.36755502,-0.19412935,0.08486383,-0.46751383,-0.35299453,0.16908693,-0.43310368,-0.393554,0.21638815,-0.40319327,-0.39129847,-0.1673921,-0.31082833,-0.24569407,-0.112902015,-0.38266692,-0.36904863,-0.05786316,-0.3738416,-0.39051726,-0.027554363,-0.36536214,-0.38501474
9,0.0,0.0,0.0,0.24299046,-0.050164852,-0.10920596,0.44423866,-0.15407443,-0.18908945,0.54561865,-0.23914525,-0.2704254,0.5746668,-0.30200523,-0.34860736,0.32282645,-0.37792885,-0.12908876,0.44432968,-0.49324793,-0.2726673,0.52772546,-0.5059973,-0.37057796,0.5799464,-0.5039491,-0.4252953,0.15688664,-0.39014775,-0.15622894,0.2630468,-0.5106383,-0.3052517,0.33884206,-0.5014887,-0.38209194,0.3795011,-0.49177825,-0.41500944,-0.008251996,-0.36244878,-0.19975427,0.081057906,-0.45621797,-0.35363373,0.15652351,-0.42191207,-0.38986373,0.1962418,-0.39610586,-0.38648748,-0.16740139,-0.3038925,-0.25145745,-0.11108752,-0.36923227,-0.36986485,-0.056341946,-0.35558203,-0.38572285,-0.026821181,-0.34490573,-0.37668934
?,0.0,0.0,0.0,0.25256813,-0.0103176255,-0.06711743,0.4996218,-0.0647931,-0.14914598,0.6649331,-0.10620469,-0.24429303,0.7713958,-0.15102258,-0.33828646,0.4714575,-0.33231837,-0.120656654,0.648946,-0.38911068,-0.29603437,0.7649431,-0.31456333,-0.40495703,0.8222623,-0.227524,-0.45619804,0.3179181,-0.36387253,-0.16934705,0.51558524,-0.4134208,-0.34591395,0.6436354,-0.30380446,-0.42056972,0.690369,-0.20079474,-0.44343776,0.15301332,-0.34639084,-0.2325769,0.3194164,-0.3730144,-0.4157143,0.46870518,-0.25091097,-0.45042863,0.5371951,-0.14837733,-0.436344,-0.009174801,-0.28681445,-0.29792637,0.13114217,-0.26940042,-0.4464863,0.2824744,-0.18154918,-0.47128177,0.37163427,-0.10231535,-0.45844007
@,0.0,0.0,0.0,0.29171064,-0.046487186,-0.11181606,0.5333142,-0.1835326,-0.17569245,0.65406716,-0.302806,-0.24619664,0.6869674,-0.39496765,-0.30878404,0.41188255,-0.40333012,-0.08372514,0.5238284,-0.50309956,-0.26184493,0.575599,-0.43253958,-0.37466457,0.5948831,-0.3533635,-0.42106813,0.2174661,-0.42327648,-0.10274817,0.34081426,-0.5092691,-0.3027868,0.4058301,-0.3734794,-0.3817706,0.42965567,-0.26351288,-0.39080167,0.014546468,-0.4116676,-0.14565568,0.12358414,-0.49438137,-0.34453675,0.20490429,-0.35548043,-0.35775742,0.23544498,-0.24578105,-0.31336325,-0.19415133,-0.37477663,-0.19632348,-0.10837751,-0.4581936,-0.3337679,-0.023074936,-0.39394712,-0.33279604,0.020669067,-0.33634436,-0.29718414
A,0.0,0.0,0.0,0.26740602,-0.06289005,-0.09656743,0.48588255,-0.1923077,-0.16505574,0.59114105,-0.29818332,-0.23942989,0.6305259,-0.37767017,-0.3071989,0.34455663,-0.41435456,-0.100074165,0.47942647,-0.51896375,-0.25882417,0.55111796,-0.49089628,-0.35860696,0.58390313,-0.45483643,-0.4069233,0.17048745,-0.42168477,-0.1320797,0.33245763,-0.51130134,-0.307417,0.40907001,-0.42850283,-0.37775707,0.43324196,-0.36381167,-0.39222273,-0.0023202978,-0.39198506,-0.18258043,0.15852037,-0.45182636,-0.3625465,0.23418203,-0.34703743,-0.37458315,0.25295082,-0.27264172,-0.34023038,-0.17019509,-0.33447945,-0.24026208,-0.033278715,-0.37663895,-0.37114072,0.044206984,-0.3159938,-0.3707919,0.07229965,-0.27073377,-0.3403764
B,0.0,0.0,0.0,0.25954902,-0.06333078,-0.09568437,0.47242218,-0.18963747,-0.16551581,0.5609573,-0.29422772,-0.24154517,0.5610814,-0.36737475,-0.31284484,0.3309864,-0.4146618,-0.1028085,0.4477059,-0.5375392,-0.25195807,0.5284063,-0.5345485,-0.3495971,0.57137436,-0.5146014,-0.39882684,0.16427718,-0.42074624,-0.1352644,0.3000725,-0.53265077,-0.29659286,0.38727012,-0.4856927,-0.37128136,0.4248443,-0.4425509,-0.3949045,-0.0017004344,-0.39086917,-0.1846541,0.13485923,-0.47021353,-0.35193726,0.22159028,-0.39369103,-0.3755525,0.254814,-0.3335714,-0.35429084,-0.16471653,-0.33393946,-0.24127276,-0.049506087,-0.3968712,-0.36328587,0.034614474,-0.36235714,-0.36908177,0.07657297,-0.33195013,-0.34733865
C,0.0,0.0,0.0,0.2662053,-0.060418222,-0.08785269,0.4900893,-0.18385956,-0.15466866,0.6009215,-0.2816259,-0.2294936,0.63789546,-0.3525354,-0.29919997,0.34398025,-0.41364154,-0.0868105,0.476118,-0.528282,-0.23439342,0.5681267,-0.51383007,-0.33107138,0.61910874,-0.4851863,-0.37964833,0.18215139,-0.41893324,-0.122051515,0.3404801,-0.52477777,-0.2820382,0.43806306,-0.4653272,-0.35473338,0.48115385,-0.41272444,-0.37595043,0.021837996,-0.3887295,-0.17473666,0.18435085,-0.46708095,-0.34081942,0.28136352,-0.38277215,-0.36157396,0.31975123,-0.31750253,-0.33810627,-0.13477904,-0.33105484,-0.23415133,0.007895824,-0.38802874,-0.35725898,0.10034142,-0.3449369,-0.36300576,0.14486668,-0.30856577,-0.34060487
D,0.0,0.0,0.0,0.2596117,-0.058699723,-0.09875646,0.47709692,-0.18057533,-0.17331934,0.57376826,-0.27814266,-0.25353286,0.58024085,-0.3472384,-0.32832414,0.3320738,-0.41132978,-0.111133516,0.44938636,-0.523974,-0.26742026,0.53095186,-0.51348966,-0.3681245,0.57573265,-0.4900809,-0.41942182,0.16449495,-0.41483548,-0.14458667,0.3082633,-0.51239514,-0.31827947,0.40277293,-0.44344988,-0.39312047,0.4432138,-0.38411096,-0.41270238,-0.0012731664,-0.38072157,-0.19514555,0.14770508,-0.4442286,-0.37450355,0.24700572,-0.34748763,-0.39317986,0.28613204,-0.27415082,-0.36463797,-0.16115505,-0.3183404,-0.2528767,-0.026999373,-0.36193895,-0.3844265,0.06820565,-0.30833122,-0.38827085,0.11425351,-0.2644942,-0.362268
